file	reads
PBM15_1731.combined_final.fastq	1001813
PBM12_018.combined_final.fastq	1247363
PBM12_020.combined_final.fastq	1121140
PBM12_019.combined_final.fastq	1204771
PBM12_063.combined_final.fastq	1179994
PBM12_040.combined_final.fastq	1527492
PBM12_021.combined_final.fastq	1513707
PBM12_017.combined_final.fastq	1887935
PBM12_009.combined_final.fastq	1699539
PBM12_043.combined_final.fastq	1913771
PBM12_044.combined_final.fastq	1964389
PBM15_1285.combined_final.fastq	1990498
PBM12_066.combined_final.fastq	1606747
PBM12_015.combined_final.fastq	2050062
PBM12_042.combined_final.fastq	2267930
PBM12_119.combined_final.fastq	1948724
PBM15_1269.combined_final.fastq	2309462
PBM12_067.combined_final.fastq	2267590
PBM12_099.combined_final.fastq	1986095
PBM12_045.combined_final.fastq	2226199
PBM12_071.combined_final.fastq	2142724
PBM15_1716.combined_final.fastq	2563571
PBM15_1578.combined_final.fastq	2489917
PBM15_1462.combined_final.fastq	2590781
PBM12_087.combined_final.fastq	2410733
PBM12_120.combined_final.fastq	2289956
PBM15_1232.combined_final.fastq	2794839
PBM15_1532.combined_final.fastq	2854085
PBM12_118.combined_final.fastq	2656093
PBM15_1007.combined_final.fastq	3088450
PBMLT02_171.combined_final.fastq	2991825
PBM12_046.combined_final.fastq	3526725
PBM15_1244.combined_final.fastq	4408792
PBM12_077.combined_final.fastq	4022250
PBM15_1063.combined_final.fastq	4559720
PBM15_1837.combined_final.fastq	4824968
PBM12_124.combined_final.fastq	5740475
PBM15_1867.combined_final.fastq	7619262
